input,target
"TTY , CAN I TYPE TTY-TO-HE BROTHER ?",Can I use the TTY to call my brother?
YES I WANT GO-TO VOCATIONAL SCHOOL .,"Yes, I want to go to vocational school"
YOUR FAMILY GET-ALONG MOST TIME ?,Does your family get along most of the time?
JOB THIS COMPETITIVE OR EASY HIRE WHICH ?,Is this job competitive or is it easy to land?
CHEMISTRY MY AUNT HER FAVORITE CLASS .,My aunt's favorite class is chemistry.
MORE HEALTHY SCHOOL LUNCH OPTIONS I WISH WE HAD .,I wish we had more healthy school lunch options.
BEFORE I GO-THERE I .,I went there before.
MY COUCH IT OLD NEW NEED  .,"I need a new couch, mine is old."
HABIT ANY YOU ?,Do you have any habits?
HERE U-S MANY PEOPLE HAVE MONEY .,Here in the United States many people have money.
YESTERDAY I PRACTICE SIGN I .,"Yesterday, I practiced my signs."
NOW MONTH YOU-BORROW MY SCREWDRIVER .,This month you borrowed my screwdriver.
THAT TEACH+AM AWFUL .,That teacher is awful.
"YOU WORK NOTHING , VERY-LAZY YOU .","You haven't done a thing, you're so lazy."
HIDE AND SEEK YOU LIKE PLAY ?,Do you like playing hide and seek?
NEIGHBOR HE HOUSE FIRE++  .,My neighbor's house is on firel
SHE HER AUNT .,She is her aunt.
OWE YOUR DAD MONEY YOU ?,Do you owe your dad any money?
GLASS SHE BREAK ?,Did she break the glass?
I A-LITTLE WORK LEFT .,I have a little work left.
MY CAR OLD SELL FOUR-HUNDRED-FIFTY DOLLAR .,I sold my old car for four-hundred-and-fifty dollars.
SEE NONE LONG TIME .,I haven't seen you for a long time.
HAVE DIFFERENT IDEA ?,Do you have a different idea?
I GO HOME .,I went home.
LEISURE ACTIVITIES WHAT KIND ?,What kind of leisure activities?
BOY HE NEED YOUR PAPER HE .,The boy needs your paper.
"I BRING SALAD , R-O-B BEER , S-A-N-D-Y CHICKEN , T-E-D HAMBURGER .","I brought the salad, John brought the beer , Sandy brought the chicken, and Ted brought the hamburger."
SHE BOTHER-HE-REPEATEDLY WRONG HE-BAWL-OUT-HER .,She kept bothering him heedlessly and then suddenly he bawled her out.
BRACES PEOPLE THEY HAVE WHY? REASON DISCUSS .,Discuss the reasons why people wear braces.
HOW YOU FEEL ?,How do you feel?
EMERGENCY VEHICLE BECKON .,Call the ambulance.
VIDEO NAME ?,What's the name of the video?
ALL-RIGHT . TOMORROW I-PICK-UP-YOU .,Okay. I will pick you up tomorrow.
"EVERYDAY I RUN APPROXIMATELY THREE , FOUR M-I-L-E-S .",Everyday I run about three or four miles.
"YOUR TEACH+AM , WHO ?",Who is your teacher?
"SHE , HER MOTHER .",She is her mother.
WORK FINISH .,I'm finished working.
"LAST MONDAY , YOU SWIM WHERE ?",Where did you swim last Monday?
"WHICH HOLIDAY HAVE PUMPKIN , GHOST , SCARECROW ?","Which holiday features pumpkins, ghosts, and scarecrows?"
HE FIRST DEAF GET N-O-B-E-L P-R-I-Z-E FOR DISCOVERING T-Y-P-H-U-S OUTBREAK START HOW ? FROM L-I-C-E .,He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice.
VALENTINE'S DAY FEBRUARY ST . PATRICK'S DAY MARCH .,Valentine's Day is in February and St. Patrick's Day is in March.
"CAKE , YOU LIKE WHAT-KIND  ?",What kind of cake do you like?
"BOOK NOT ARRIVE , I PROCEED CLASS .","If the books haven't arrived, I'll go ahead with my class."
HOT DOG COSTS TWO DOLLARS FIFTY CENTS .,A hot dog costs $2.50.
YOU THINK TEST EASY QMW ?,Did you think the test was easy?!
FORTY-FOUR DOGS C-A-R-O-L HAS .,Carol has forty-four dogs.
HOW YOU FEEL ?,How are you feeling?
BEE STING YOU BEFORE ?,Have you ever been stung by a bee?
EVERY MORNING MY FATHER PLAY GOLF .,My father plays golf every morning.
HURRICANE K-A-T-R-I-N-A WHEN? AUGUST TWO-THOUSAND-FIVE .,Hurricane Katrina happened in August 2005.
HE VERY-LOUD ! AWFUL .,He's very loud. It's awful.
E-D-W-A-R-D HE YOUR BOYFRIEND ?,Is Edward your boyfriend?
HE BLOND .,He has blond hair.
I DON'T LIKE AIRPLANES .,I don't like airplanes.
"STRANGE , WOMAN DIE WHY? REFUSE EAT .",That's strange. The woman died because she refused to eat.
A-WEEK-AGO BODY SEARCH FINISH .,I had a physical last week.
MY SISTER COLOR HAIR WHAT? RED .,My sister has red hair.
I SLEEPING HAPPEN ALARM RING .,I was sleeping when the alarm clock went off.
"DRAMA ROOM , WHERE ?",Where is the drama room?
MY GOAL WHAT? COMPLETE HOMEWORK BEFORE CLASS .,My goal is to finish my homework before class.
HE TEACH ASL FOR-FOR ? USE DURING SILENT MOVIES .,He taught ASL to use when acting in silent films.
INDEPENDENCE DAY WHEN? FRIDAY JULY FOURTH .,"Independence Day is Friday, July fourth."
"NO , I UNDERSTAND LITTLE-BIT .","No, I just understand a little bit."
I LIKE HE .,I like him.
I KNOW WOMAN DEAF I .,I know a deaf woman.
"I SKILL SIGN+AM , I UNDERSTAND EASY .","If I were a skilled signer, I would understand easily."
YOU READY GO-TO RESTAURANT YOU ?,Are you ready to go to the restaurant?
TELL I NONE SHE .,She tells me nothing.
SAILBOAT HAVE HE .,He has a sailboat.
YOU LIKE PENCILS ?,Do you like pencils?
LONG-AGO SHE VISIT WASHINGTON SHE .,She visited Washington a long time ago.
YOUR BIRTHDAY PARTY MANY GOOD IDEAS I HAVE .,I have many good ideas for your birthday party.
DAILY WE LEARN NEW VOCABULARY .,Every day we learn new vocabulary.
YESTERDAY DOG IT HUGE I BUY .,Yesterday I bought a huge dog.
YOU LIKE GO PLAY-FIELD ?,Do you like going to the playground?
LOOK-FOR FIND PLUG-IN-THERE .,Look for the cord and plug it in.
I GO-TO NEW ORLEANS HOW? FLY .,I am flying to New Orleans.
"TOMORROW AFTERNOON , WHAT-DO YOU ?",What are you doing tomorrow afternoon?
EXACT WORK WHAT ?,What do you do exactly?
"KEYS I HAVE TWO WHAT-FOR? HOUSE , CAR .",I have two keys for my house and car.
CAN YOU-TAKE-HE THERE Z-O-O ?,Can you take him to the zoo?
FIVE-OF-THEY FROM CALIFORNIA .,They are from California.
TIME SEVEN-THIRTY AM BICYCLING RACE .,The bicycling race is at 7:30 am.
"TABLE FOULED-UP , HE-LEAVE-IT .",He left the messy table.
HAVE SIGN J-O-S-E-'-S .,"There's a sign that says ""Jose's""."
SEEM YOU NOT-YET WAASH-CLOTHES SINCE ONE-MONTH .,It seems you haven't washed clothes in a month.
MY TELEPHONE EXPENSIVE I CAN'T BELIEVE !,I can't believe how expensive my telephone was!
DEAF ?,Are you deaf?
I REMEMBER BLUE CAR I .,I remember a blue car.
MOTHER PERMIT I GO-THERE .,My mother permitted me to go.
YOU AVAILABLE WHEN ?,When are you available?
"YOU SCHOOL MAJOR , WHAT ?",What is your major?
YOU WORK WELD YOU ?,Are you a welder?
PAST NIGHT I SEE .,"Last night, I saw."
MOVIE I CAN'T PAY ATTENTION I ANTS IN YOUR PANTS .,I couldn't pay attention to the movie because I had ants in my pants.
WHERE WIFE NOW VISIT WHERE ?,Where is your wife visiting now?
I LIKE PRACTICE .,I don't like practicing.
YOU TOGETHER-STEADY SOMEONE ?,Are you going steady with someone?
"I OUTSIDE . P-A-T TO-TELEPHONE , YOU-SUMMON-I .","I'll be outside. If Pat calls, call me."
MY NAME S-A-R-A-H .,My name is Sarah.
"HOMEWORK , WRITE THREE ADVERTISEMENT .","For homework, write 3 advertisements."
M-A-T-T-H-E-W HE-ASK-I SHOW-HE YELLOW GREEN CURTAIN .,Matthew asked me to show him the yellow and green curtain.
"SUPPOSE HE HUNGRY , YOU GIVE HE APPLE .","If he's hungry, give him an apple."
YOUR SISTER LIVE WHERE ?,Where does your sister live?
"TEST I LOOK-AT , WRONG-REPEATEDLY .",I looked at the test. I had many errors.
FOOTBALL GAME I WATCH FINISH .,I watched the football game.
I WANT SEE FIRST .,I want to see it first.
"TOMORROW AFTERNOON TIME ONE , I-MEET-YOU HERE .",I will meet you here tomorrow afternoon at one.
YOU-MIND YOU-LOAN-I -DOLLAR ?,Do you mind if I borrow a dollar from you?
I REMEMBER YOUR HOUSE .,I remember your house.
"CHICKEN , I WILL EAT .",I will eat the chicken.
DON'T-LIKE FOOTBALL I BUT EVERY-THURSDAY EVENING I WATCH TV RACE CAR SHOW I ENJOY .,I don't like football but I do like race car driving shows on Thursdays evenings.
J-O-N AGE NINETEEN .,Jon is nineteen.
"LETTER , I FINISH WRITE .",I've already written the letter.
"YOUR NAME , SPELL ?",How do you spell your name?
MYSELF FIVE FOOT SEVEN INCHES .,I am five feet and seven inches tall.
YOU LEARN++ FRENCH .,Are you learning French?
"ATHLETE ALL DEAF , INTERESTING .",That's interesting that all of the athletes are deaf.
HOMEWORK YOU WRITE FINISH HOW-MANY HOURS ?,How many hours does it take to do your homework?
"SEE THERE MAN BEARD , NICE HE .","See that man with the beard, he's nice."
"DANCE , I LIKE .",I like to dance.
T-E-R-E-N-C-E P-A-R-K-I-N HIMSELF FAMOUS DEAF SWIMMER FROM SOUTH AFRICA .,Terence Parkin is a deaf swimmer from South Africa.
BOXING M-U-H-A-M-M-A-D A-L-I BEAT G-E-O-R-G-E F-O-R-E-M-A-N .,Muhammad Ali beat George Foreman in boxing.
I-ASK-HE-REPEATEDLY .,He doesn't explain anything.
I LEARN ALWAYS .,I am always learning.
SITDOWN !,Sit down!
"N-O-V , HOLIDAY NAME  ?",What is the holiday in November?
YOU WISH YOURSELF LAWYER ?,Do you wish you were an attorney?
YOUR DAD ARMY BEFORE ?,Was your dad in the Army?
F-R-A-T MEETING WILL HERE IN-FOUR-YEAR .,There'll be a Fraternal Meeting here in four years.
SPRING DON'T FORGET TIME SPRING FORWARD .,Don't forget time springs forward in the Spring.
HE MY STUDENT .,He is my student.
WHEN T-T-Y ARRIVE WHEN ?,When did the TTY arrive?
"FINISH ADVERTISE TOURNAMENT , I DON’T-KNOW I .",I don't know if they have advertised the tournament.
HAIR DRYER LEND ?,May I borrow your hair dryer?
TENNESSEE UTAH WHICH ?,Tennessee or Utah?
"SHORT , CHUBBY . NOW CHANGE .",She was short and chubby. Now she's changed.
"YOUR HOUSE , FRONT FIELD TREE HAVE ?",Is there a tree in the front yard of your house?
"TOMORROW SNOW , I GO-TO SKI .","If it snows tomorrow, I will go skiing."
NEW INTERPRETER MY OFFICE RECENTLY HIRE .,My office just hired a new interpreter.
LAST-NIGHT YOU SLEEP HOUR HOW-MANY YOU ?,How many hours did you sleep last night?
"SCHOOL HEAR , MY FRIEND DEAF DON'T-LIKE .",My deaf friend doesn't like the public school.
TV LOOK LIKE ?,Do you like to watch TV?
FOUR DIVIDE BY FOUR EQUAL ONE .,4 ÷ 4 = 1
AGAIN YOU NAME WHAT ?,What is your name again?
"GALLAUDET UNIVERSITY , WHEN ESTABLISH ?",When was Gallaudet University established?
SHOWER YOU NEED .,You need a shower.
SOMETIMES I SIGN VERY-FAST . SORRY .,Sometimes I sign very fast. Sorry.
YOU DECIDE GO DOCTOR ? VERY-GOOD !,You decided to go to the doctor? Very good!
SOCCER TEAM ALL-OF-THEY LOST DOESN'T MATTER STILL GOOD ATTITUDE .,"The soccer team lost, but they still had a good attitude."
"MAN THERE , ARROGANT .","That man, he's arrogant."
YOU LOOK-LIKE YOUR MOTHER ?,Do you look like your mother?
YOUR BEST FRIEND NAME WHAT ?,What is your best friend's name?
TOMORROW I-MEET-YOU TIME ?,What time should I meet you tomorrow?
NOW GO-AHEAD START .,Now go ahead and start.
"AMBULANCE , PAST YOU ?",Have you ever been in an ambulance?
M-A-T-T AGE SEVENTEEN .,Matt's age is seventeen.
I THINK EIGHT . PLUS FOUR PANTS .,I think eight and four pairs of pants.
EDUCATION MY BOYFRIEND HIS FAVORITE CLASS .,My boyfriend's favorite class is education.
HOW YOU SIGN A-S-K T-O ?,How do you sign ask to?
QUERY .,I have a question.
MONTH JULY MONTH AUGUST ARIZONA HOT .,July and August are hot months in Arizona.
I NOT HAVE TIME .,I don't have time.
DURING SUMMER SHORTS EVERY DAY I .,I wear shorts every day in the summer.
GOOD HANDSHAKE IMPORTANT .,It's important to have a good handshake.
"I CHEAT , NEVER .",I never cheat.
BRUISE IT MEAN SKIN INFECTION ?,Does a bruise mean you have a skin infection?
"YOU PREFER RED WINE WHITE WINE , WHICH ?","Which do you prefer, red or white wine?"
MY FATHER BORN WHERE? MISSISSIPPI .,My father was born in Mississippi.
TWO DOGS I HAVE .,I have two dogs.
"I ENTER BUILDING , SEE FLOWER ALL-OVER .",I went in a building and could see flowers all over.
SINCE SIX-MONTH I WORK TEACH+AM . ENJOY .,For the last 6 months I've worked as a teacher. I enjoy it.
"FOR YOU STUDY , MUST ROOM QUIET ?",Do you need a quiet room to study in?
BLOOD-DRAW-MICROSCOPE-ANALYZE IMPORTANT WHY ?,Why is blood work more important?
DINNER SPAGHETTI MEAT B-A-L-L-S WE HAVE .,We are having spaghetti and meatballs for dinner.
I-TELL-HE-REPEATEDLY .,I have told him many times.
F-I-O-N-A MARRIED MAY SECOND YEAR TWO-THOUSAND-THREE .,"Fiona got married on May 2, 2003."
I HATE TYPING .,I hate typing.
"SIGN NONE , FINGERSPELL MUST .","There is no sign for that, you need to fingerspell it."
MY P-U-P-P-Y L-A-B OLD SIX-MONTHS .,My Labrador puppy is six months old.
"IF C-U-T NOT CLEAN++ , WILL INFECTION ?","If a cut is not clean, will it get infected?"
YOU FULL ?,Are you full?
J-U-L-I-E-T-T-E G-O-R-D-O-N L-O-W SHE GREW-UP SICKLY RIGHT EAR DETERIORATE .,Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear.
"SUPPOSE YOU HEARING , YOU W-G-D COMPETE , CAN'T .","If you are a hearing person, then you can't compete in the WGD."
YOU HIT YOUR BROTHER ?,Did you hit your brother?
MY OLD CLOTHES WILL I-GIVE-ALL-OF-THEY .,I'll give my old clothes to all of them.
VALENTINE'S DAY WHEN? WEDNESDAY FEBRUARY FOURTEEN .,"Valentine's Day is Wednesday, February fourteenth."
YOUR NIECE ENJOY DANCE ?,Does your niece enjoy dancing?
"AFRICA , EAST , THEREABOUTS OCEAN IT NAME ?",What is the name of the ocean near East Africa?
J-O-H-N HE STUBBORN HE .,John is stubborn.
HOLLAND HAVE MANY FLOWER ?,Does Holland have many flowers?
TOMORROW DANCE S-A-D-I-E H-A-W-K-I-N-S .,Tomorrow there is a Sadie Hawkins dance. 
"YOU GET-WELL QUICK , I HOPE .",I hope you get well quickly.
ME BORN M-A-I-N-E I .,I was born in Maine.
TRAIN DEPART TIME ?,What time does the train leave?
"THIS CLASS , WHAT PERCENT WOMAN ?",What percentage of the class is female?
FILE DELETE MISTAKE .,I accidentally deleted my file.
"EVERY-SATURDAY MORNING , MY SISTER LOOK-AT-CONTINUALLY TV .",Every Saturday morning my sister continually looks at TV.
"TEXAS SMALL , LARGE , WHICH ?","Which is larger in Texas, small or large?"
HISTORY MY COUSIN HIS FAVORITE CLASS .,My cousin's favorite class is history.
J-O-H-N WANT PAPER BLUE .,John doesn't want blue paper.
BEFORE HE HAVE MUSTACHE BLACK BUT NOW WHITE .,"He used to have a black mustache, and now its turned white."
HOW YOU KNOW YOU ?,How do you know?
"SHE , MY SISTER .",She isn't my sister.
CAN'T I . STUCK .,I can't. I have something I can't get out of.
YOU LEAVE EARLY WHY ?,Why are you leaving early?
I HATE MOTORCYCLES .,I hate motorcycles.
YOURSELF GO-WITH MOTHER .,You go with mother.
SHIRT SHOES REQUIRE .,Shirt and shoes are required.
TASTE LOUSY .,It tastes lousy.
"I PRACTICE MORE , NEED I .",I need to practice more.
I FEEL SURE HE UNDERSTAND .,I felt sure he understood it. 
TWO PLUS TWO HOW-MANY ?,What does 2+2 equal?
MARRIED YOU ?,Are you married?
"GO-AWAY TOMORROW , I DON'T-WANT I .",I don't want to leave tomorrow.
FIND NONE PROBLEM .,I had no problem.
"MY STUDENT , SHE HAVE PAPER .",My student has paper.
SHE FROM I-N-D .,She's from Indiana.
WOMAN SHE DON'T-WANT T-T-Y SHE .,The woman doesn't want a TTY.
JUNETEENTH CELEBRATE WHAT? FREEDOM FROM SLAVERY .,Juneteenth celebrates freedom from slavery.
OPEN-THE-WINDOW .,Open the window.
YOU SOMETIMES FLATTERY DAD FOR BORROW CAR ?,Do you sometimes flatter your dad to borrow his car?
CAR I FINISH DECIDE BUY WHICH? F-O-R-D .,"I've decided to buy a car, a Ford."
BOSS PEOPLE HE MANIPULATE HE  .,His boss manipulates people.
"DENTIST , I WAIT .",I waited for the dentist.
WANT YOU-MEET MY MOM YOU ?,Do you want to meet my mother?
CHOCOLATE C-H-I-P COOKIES BAKE I LOVE !,I love to bake chocolate chip cookies!
SKI LIKE YOU ?,Do you like to ski?
"SHOES , YOU HAVE HOW-MANY ?",How many pairs of shoes do you have?
"WANT MEET AGAIN , HUH ?",Do you want to meet again?
YOU COMPETITION INVOLVE HOW-MANY ?,How many competitions are you involved with?
"I DRIVE-TO L-A , SEE ACCIDENT++ .",I saw several accidents while driving to L.A. 
YOU DEAF YOU ?,Are you deaf?
NOT UNDERSTAND I .,I don't understand.
A-L-I-C-E H-A-G-E-M-E-Y-E-R HERSELF DEAF LIBRARIAN .,Alice Hagemeyer was a deaf librarian.
"BOWLING EVERY-WEEK , BORED , GO-AWAY MOVIE .",I'm tired of going bowling every week. Let's go to a movie.
FUTURE TEN YEARS I RETIRE DO-DO? MOVE F-L-A .,"After retirement in ten years, I plan to move to Florida."
J-A-C-K-I-E SKILL TELL-STORY .,Jackie is good at telling stories.
YOU LIKE CHAT WITH DEAF ?,Do you like to chat with deaf people?
"PARTY , I LOVE .",I love parties. 
"YESTERDAY P-A-T , NARRATE AWFUL HAPPEN++ .",Pat told me awful things yesterday.
MY MOTHER AGE FIFTY-SEVEN HIT DIABETES .,My mother got diabetes when she was 57.
I PAY LESS THAN YOU .,I paid less than you.
"COLLEGE NEWSPAPER I WRITE ARTICLE , PRINT .",I'm writing an article for the college newspaper.
PEOPLE YOU LIKE WHAT KIND ?,What type of people do you like?
IF JOB HIRE DEAF PEOPLE CONFRONT CHALLENGE THINK YOU ?,Do you think that deaf people face challenges in obtaining employment?
"CLEAN DISHES WASH CLOTHES , HE ?",Will he clean the dishes and wash the clothes?
HOW-MANY BROTHERS SISTERS YOU HOW-MANY ?,How many siblings do you have?
HAVE BOYFRIEND GIRLFRIEND ?,Do you have a boyfriend or girlfriend?
TONIGHT MOON IT BEAUTIFUL .,The moon is beautiful tonight.
WATER CALIFORNIA NOW HAVE PLENTY .,California now has plenty of water.
"FOR CLASS , PICTURE , I MUST EXPLAIN IT MEAN , WRITE . PICTURE .","For class, I had to write an explanation about the meaning of a picture. "
FLUNK CLASS PAST YOU ?,Did you flunk any classes last semester?
YOU FEEL FRUSTRATED WHEN ?,When do you feel frustrated?
YOU DRAW GOOD ?,Do you draw well?
"BUY WINE , HOW-OLD MUST ?",How old do you have to be to buy wine?
SCHOOL I WENT .,I went to school.
EASTER GRANDMA'S HOUSE MY FAMILY GO-TO .,My family is going to grandma's house for Easter.
"HE HAVE MOVIE ABOUT HIS LIFE ""T-H-E H-A-M-M-E-R"" .","He has a movie about his life called ""The Hammer."""
YOU LIE LIE LIE CUT THE BULL .,Cut the bull. You always lie.
WASHING-MACHINE MUST .,I need to do some laundry.
GRANDMOTHER WEIGH HOW-MUCH ?,How much does grandma weight?
FRIEND WILL HE-MEET-I TIME ONE .,My friend will meet me at one o'clock.
YOU GIRLFRIEND YOU ?,Are you a girlfriend?
I OLD-FIFTEEN .,I am fifteen years old.
EVERY YEAR INDEPENDENCE DAY MY FAMILY ALWAYS GET-TOGETHER .,My family always gets together for Independence Day every year.
YOU TIRED ?,Are you tired?
I KNOW-THAT .,I know that.
"I BRING TV , SHELF , PLUS S-O-F-A .","I brought a TV, shelf, and a sofa."
HE-SHE WHO ?,Who is he/she?
TONIGHT DINNER MY GIRLFRIENDS COME OVER .,My girlfriends are coming over for dinner tonight.
TOMORROW BREAKFAST YOU WANT PANCAKE AND SAUSAGE ?,Would you like pancakes and sausage for breakfast tomorrow?
HOMEWORK I NOT COMPLETED FINISH .,I have not completed the homework.
I LOVE TYPING .,I love typing.
SORRY .,Sorry.
KNOW WHO YOU ?,Do you know him?
BOOK I FINISH READ I .,I've read the book.
YESTERDAY NIGHT I STUDY LESSON SIX AND SEVEN .,Last night I studied lessons six and seven.
UMBRELLA LONG-AGO YOU-GIVE-I .,You gave me the umbrella a long time ago.
YOU DRIVE SLOW ?,Do you drive slowly?
SAME SAME .,The same old routine.
"PIZZA THIN CRUST , THICK CRUST , YOU FAVOR WHICH ?","Which do you prefer, thick or thin crust pizza?"
MY AUNT GIVE-I RED CLOTHES .,My aunt gave me red clothing.
"MY GRANDMOTHER , I ARGUE-REPEATEDLY .",My grandmother and I argue all the time.
PSYCHOLOGY MY BROTHER HIS FAVORITE CLASS .,My brother's favorite class is psychology.
"SEE NEWSPAPER FREEWAY ACCIDENT , I SEE I .",Did you see in the paper about an accident on the freeway? I saw it.
B-O-B-B-Y STRONG .,Bobby is strong.
YOU THINK MOST SELL-AM FRIENDLY ?,Do you think most sales agents are friendly?
BUTTERFLY COLOR WHAT? PURPLE .,The butterfly is purple.
SPELL GOOD CAN YOU ?,Can you spell well?
"MONEY , MY SISTER WANT .",My sister wants money.
"YOU SAY , PEOPLE YOUNG , WEAR COAT BLUE NOT .",You said that young people don't wear blue coats. 
